#TS 	 TEMP
7220 	 368.9427
7230 	 364.8690
7240 	 373.8996
7250 	 375.1012
7260 	 369.7421
7270 	 373.9368
7280 	 372.7286
7290 	 365.2172
7300 	 371.6473
7310 	 373.2547
7320 	 369.7910
7330 	 372.2751
7340 	 369.0725
7350 	 365.6735
7360 	 372.4463
7370 	 378.6003
7380 	 376.1676
7390 	 372.1042
7400 	 372.2986
7410 	 368.7390
7420 	 371.2282
7430 	 375.3701
7440 	 371.6422
7450 	 372.8891
7460 	 364.5798
7470 	 365.1435
7480 	 368.9694
7490 	 370.9510
7500 	 369.1414
7510 	 370.0543
7520 	 364.1536
7530 	 372.1486
7540 	 367.8807
7550 	 374.1440
7560 	 371.9567
7570 	 373.2536
7580 	 370.0366
7590 	 366.4099
7600 	 369.8653
7610 	 371.2268
7620 	 368.5623
7630 	 367.7829
7640 	 367.9713
7650 	 369.6059
7660 	 367.9501
7670 	 369.9906
7680 	 370.8819
7690 	 363.8367
7700 	 364.4030
7710 	 362.2017
7720 	 366.1194
7730 	 369.5658
7740 	 371.0020
7750 	 375.8569
7760 	 368.5777
7770 	 371.5426
7780 	 370.9282
7790 	 368.2407
7800 	 375.2681
7810 	 372.1232
7820 	 366.1810
7830 	 369.4183
7840 	 364.3806
7850 	 368.3508
7860 	 372.6875
7870 	 372.0604
7880 	 372.9948
7890 	 377.5205
7900 	 370.1437
7910 	 375.8615
7920 	 375.9145
7930 	 373.5148
7940 	 379.6099
7950 	 377.5031
7960 	 369.4866
7970 	 372.4733
7980 	 373.0664
7990 	 373.5073
8000 	 372.6785
8010 	 369.5871
8020 	 371.4375
8030 	 369.1029
8040 	 371.9076
8050 	 368.8960
8060 	 364.2458
8070 	 369.4711
8080 	 366.0956
8090 	 370.2426
8100 	 375.5105
8110 	 371.7982
8120 	 373.6522
8130 	 371.1588
8140 	 368.8976
8150 	 373.2319
8160 	 372.7791
8170 	 372.8472
8180 	 365.8411
8190 	 369.7889
8200 	 372.0407
8210 	 371.3434
8220 	 366.8626
8230 	 367.6116
8240 	 369.6644
8250 	 365.5135
8260 	 368.3041
8270 	 368.7407
8280 	 365.5385
8290 	 361.7453
8300 	 370.3279
8310 	 365.6911
8320 	 363.3979
8330 	 365.2184
8340 	 367.6944
8350 	 367.8098
8360 	 368.7907
8370 	 367.8482
8380 	 371.9828
8390 	 370.7219
8400 	 370.3272
8410 	 369.4718
8420 	 369.7356
8430 	 370.3696
8440 	 371.2777
8450 	 363.4606
8460 	 366.7670
8470 	 372.3786
8480 	 371.7746
8490 	 368.4422
8500 	 367.0643
8510 	 371.6949
8520 	 370.5282
8530 	 369.3669
8540 	 373.3784
8550 	 366.3394
8560 	 372.5936
8570 	 368.4202
8580 	 372.7885
8590 	 370.3183
8600 	 367.1414
8610 	 370.8359
8620 	 363.1473
8630 	 363.7632
8640 	 365.2429
8650 	 372.9261
8660 	 368.5660
8670 	 372.4215
8680 	 367.8315
8690 	 371.2150
8700 	 370.0231
8710 	 367.5900
8720 	 365.5550
8730 	 372.2979
8740 	 366.0921
8750 	 369.5857
8760 	 368.4909
8770 	 369.4125
8780 	 367.1993
8790 	 372.0303
8800 	 371.8390
8810 	 374.8974
