Frame         Time          Bond          Angle         Dihed         Impr          Elec          VdW           Conf          Nonbond       Total         
249           249           +227.325      +775.185      +300.805      +42.4796      -1744.7       -287.421      +1345.8       -2032.12      -686.322      
250           250           +245.856      +718.321      +301.32       +43.1054      -1764.04      -321.116      +1308.6       -2085.15      -776.551      
251           251           +247.204      +695.759      +289.789      +42.2539      -1783.38      -290.413      +1275.01      -2073.79      -798.783      
252           252           +254.531      +696.133      +308.551      +38.3605      -1760.38      -294.9        +1297.58      -2055.28      -757.699      
253           253           +239.144      +733.527      +312.518      +43.0804      -1731.62      -297.026      +1328.27      -2028.65      -700.38       
254           254           +234.254      +715.928      +305.365      +41.9634      -1736.38      -289.878      +1297.51      -2026.26      -728.745      
255           255           +226.962      +725.023      +320.618      +48.4135      -1739.53      -286.563      +1321.02      -2026.1       -705.079      
256           256           +224.525      +736.633      +307.24       +43.2438      -1771.92      -312.151      +1311.64      -2084.07      -772.425      
257           257           +237.195      +733.775      +311.899      +49.3986      -1731.35      -296.747      +1332.27      -2028.1       -695.829      
258           258           +256.989      +718.764      +321.517      +39.7503      -1737.61      -315.846      +1337.02      -2053.45      -716.433      
259           259           +262.74       +731.222      +315.513      +40.7401      -1764.23      -304.657      +1350.22      -2068.89      -718.677      
260           260           +235.774      +744.348      +315.796      +43.797       -1716.31      -310.308      +1339.72      -2026.62      -686.904      
261           261           +247.413      +758.134      +313.536      +34.221       -1782.19      -306.866      +1353.3       -2089.05      -735.751      
262           262           +234.909      +731.129      +310.767      +45.7028      -1738.94      -310.585      +1322.51      -2049.53      -727.023      
263           263           +226.207      +683.977      +329.243      +47.1824      -1754.48      -308.826      +1286.61      -2063.3       -776.696      
264           264           +217.108      +715.423      +326.392      +40.8426      -1727.65      -321.644      +1299.77      -2049.29      -749.525      
265           265           +206.04       +735.495      +313.838      +36.4774      -1757.48      -293.183      +1291.85      -2050.66      -758.81       
266           266           +234.644      +745.341      +322.252      +49.164       -1777.65      -293.988      +1351.4       -2071.64      -720.241      
267           267           +217.89       +710.296      +328.677      +49.6244      -1775.66      -284.978      +1306.49      -2060.63      -754.146      
268           268           +216.475      +733.139      +315.209      +37.7119      -1747.13      -301.932      +1302.54      -2049.06      -746.525      
269           269           +236.93       +690.248      +323.385      +46.3969      -1791.65      -308.595      +1296.96      -2100.24      -803.282      
270           270           +227.479      +732.915      +308.894      +46.8943      -1775.02      -282.113      +1316.18      -2057.13      -740.949      
271           271           +231.152      +734.204      +309.395      +47.237       -1761.35      -290.541      +1321.99      -2051.89      -729.905      
272           272           +233.853      +684.999      +298.86       +51.7469      -1756.58      -292.682      +1269.46      -2049.26      -779.804      
273           273           +240.443      +692.999      +301.744      +43.4839      -1756.73      -305.744      +1278.67      -2062.48      -783.808      
274           274           +235.629      +686.968      +300.919      +48.5272      -1748.17      -290.921      +1272.04      -2039.09      -767.049      
275           275           +224.512      +704.641      +317.552      +48.26        -1736.65      -302.305      +1294.97      -2038.95      -743.988      
276           276           +215.547      +713.489      +308.898      +43.3897      -1749.29      -322.751      +1281.32      -2072.04      -790.717      
277           277           +234.992      +703.543      +310.474      +41.6347      -1771.48      -306.119      +1290.64      -2077.6       -786.959      
278           278           +238.407      +702.182      +296.446      +45.491       -1789.81      -311.949      +1282.53      -2101.76      -819.235      
279           279           +238.875      +689.957      +281.71       +39.0211      -1765.47      -299.808      +1249.56      -2065.28      -815.717      
280           280           +232.54       +691.846      +293.503      +53.8088      -1759.71      -290.457      +1271.7       -2050.17      -778.471      
281           281           +263.037      +726.004      +310.465      +37.2879      -1763.09      -293.571      +1336.79      -2056.67      -719.872      
282           282           +235.874      +753.763      +316.268      +31.5807      -1763.17      -295.464      +1337.49      -2058.63      -721.144      
283           283           +240.449      +716.782      +297.217      +42.2205      -1732.5       -315.698      +1296.67      -2048.19      -751.525      
284           284           +243.596      +770.95       +291.35       +33.439       -1742.59      -315.549      +1339.34      -2058.14      -718.803      
285           285           +250.602      +719.348      +313.611      +48.0661      -1765.73      -297.99       +1331.63      -2063.72      -732.091      
286           286           +231.392      +736.421      +306.559      +39.6075      -1762.71      -306.311      +1313.98      -2069.02      -755.044      
287           287           +242.722      +712.44       +293.682      +38.101       -1750.82      -304.848      +1286.95      -2055.67      -768.727      
288           288           +238.951      +739.226      +308.146      +47.436       -1715.87      -313.224      +1333.76      -2029.09      -695.334      
289           289           +239.786      +737.785      +302.345      +39.2688      -1745.72      -295.345      +1319.18      -2041.06      -721.878      
