11330	314.3101
11340	305.3269
11350	309.0650
11360	304.3405
11370	307.7280
11380	307.3886
11390	307.8872
11400	306.1081
11410	314.1389
11420	307.5195
11430	312.9811
11440	308.7202
11450	314.2935
11460	310.4038
11470	315.1895
11480	314.8000
11490	319.0991
11500	311.7845
11510	310.0174
11520	314.0522
11530	308.4794
11540	308.4949
11550	310.9934
11560	313.3621
11570	312.3075
11580	313.4985
11590	312.7397
11600	313.0380
11610	313.3748
11620	314.2801
11630	311.8655
11640	314.6368
11650	311.2852
11660	310.5094
11670	314.0920
11680	316.2388
11690	313.8076
11700	312.3639
11710	318.0291
11720	313.0376
11730	311.0621
11740	310.7604
11750	311.3273
11760	313.8857
11770	309.8608
11780	313.0359
11790	311.9334
11800	312.7392
11810	310.0278
11820	304.9055
11830	310.4185
11840	308.2498
11850	305.8276
11860	313.5195
11870	309.8077
11880	309.7732
11890	307.1304
11900	308.5564
11910	310.5743
11920	308.5906
11930	309.2456
11940	309.7723
11950	309.4124
11960	306.6323
11970	306.4551
11980	307.7709
11990	306.3145
12000	306.9524
12010	305.8090
12020	307.7894
12030	305.9488
12040	306.2593
12050	310.9032
12060	311.3020
12070	306.3745
12080	304.6556
12090	309.5637
12100	303.7131
12110	309.0496
12120	306.2024
12130	308.0977
12140	308.0995
12150	304.4748
12160	304.1599
12170	310.3769
12180	306.8402
12190	307.6683
12200	311.2535
12210	307.5287
12220	313.1473
12230	306.3988
12240	308.3077
12250	308.2932
12260	306.5623
12270	306.4268
12280	308.7061
12290	306.6240
12300	307.0793
12310	305.4176
12320	305.8425
12330	308.9642
12340	306.6073
12350	308.3077
12360	309.1900
12370	310.6397
12380	312.0265
12390	309.2213
12400	312.3276
12410	311.0723
12420	310.1060
12430	306.4215
12440	307.4351
12450	308.5877
12460	310.6559
12470	305.4974
12480	315.3905
12490	311.5772
12500	311.6267
12510	314.2869
12520	312.5665
12530	308.8775
12540	306.9614
12550	306.5778
12560	307.9700
12570	313.2439
12580	307.2128
12590	312.8729
12600	305.4079
12610	307.7074
12620	303.9744
12630	307.8737
12640	304.7814
12650	310.0321
12660	310.0439
12670	316.1623
12680	305.5830
12690	308.8610
12700	308.5702
12710	314.6771
12720	307.6515
12730	306.0533
12740	305.7975
12750	310.5390
12760	302.2186
12770	310.7649
12780	309.9208
12790	311.6112
12800	311.2654
12810	313.2022
12820	310.5747
12830	305.1490
12840	309.7178
12850	303.9721
12860	301.7890
12870	303.8284
12880	309.3987
12890	308.4684
12900	315.0959
12910	307.8202
12920	310.3125
12930	304.2791
12940	308.4522
12950	303.6950
12960	303.5184
12970	310.6533
12980	310.5972
12990	308.3372
13000	311.4738
13010	304.8968
13020	304.0193
13030	301.1826
13040	307.5433
13050	310.1833
13060	305.3639
13070	309.9119
13080	311.1049
13090	306.3534
13100	307.2858
13110	306.7162
13120	307.9525
13130	310.3243
13140	308.3235
13150	307.4252
13160	310.8653
13170	308.6347
13180	310.6045
13190	309.5191
13200	303.7153
13210	306.6421
13220	306.9882
13230	305.2868
13240	305.8738
13250	303.4575
13260	302.9901
13270	308.2988
13280	307.8227
13290	310.6325
13300	310.1000
13310	310.9785
13320	307.9909
13330	314.2085
13340	304.9893
13350	308.4275
13360	314.0947
13370	306.5606
13380	311.5218
13390	309.0639
13400	311.6775
13410	309.6427
13420	311.4035
13430	310.7219
13440	310.4654
13450	311.3557
13460	314.7164
13470	310.0047
13480	309.5201
13490	310.3215
